Country/Territory,Region,Status,PR rating,CL rating,PR,CL,Total
Congo (Brazzaville),Africa,NF,6,5,7,23,30
Luxembourg,Europe,F,1,1,38,59,97
Andorra,Europe,F,1,1,39,57,96
Central African Republic,Africa,NF,7,7,4,6,10
Albania,Europe,PF,3,3,28,40,68
Kuwait,Middle East,PF,5,5,13,23,36
Sudan,Africa,NF,7,6,0,10,10
Nauru,Asia,F,2,2,35,46,81
San Marino,Europe,F,1,1,38,59,97
Mongolia,Asia,F,1,2,36,50,86
Ecuador,Americas,PF,3,3,24,36,60
Lebanon,Middle East,PF,5,4,14,30,44
Myanmar,Asia,NF,7,6,0,9,9
Dominican Republic,Americas,PF,3,3,26,41,67
Liberia,Africa,PF,3,3,27,35,62
Tanzania,Africa,PF,5,5,17,23,40
The Gambia,Africa,PF,4,4,20,26,46
Nicaragua,Americas,NF,6,5,10,22,32
Barbados,Americas,F,1,1,40,59,99
Congo (Brazzaville),Africa,NF,7,6,2,15,17
Cote d'Ivoire,Africa,PF,4,4,19,32,51
Malaysia,Asia,PF,4,4,19,28,47
Turkey,Europe,PF,4,5,18,20,38
Morocco,Africa,PF,5,5,13,24,37
Maldives,Asia,PF,4,5,18,22,40
United Kingdom,Europe,F,1,1,39,54,93
Tuvalu,Asia,F,1,1,37,56,93
Haiti,Americas,PF,5,5,17,24,41
Singapore,Asia,PF,4,4,19,32,51
Papua New Guinea,Asia,PF,4,3,23,41,64
South Korea,Asia,F,2,2,35,50,85
Marshall Islands,Asia,F,1,1,38,55,93
Myanmar,Asia,NF,5,6,14,16,30
Cabo Verde,Africa,F,1,1,37,53,90
Equatorial Guinea,Africa,NF,7,7,0,5,5
Western Sahara,Africa,NF,7,7,-3,7,4
Honduras,Americas,PF,4,4,20,29,49
St. Kitts and Nevis,Americas,F,2,1,35,53,88
Germany,Europe,F,1,1,39,55,94
Estonia,Europe,F,1,1,38,56,94
Trinidad and Tobago,Americas,F,2,2,33,48,81
Guyana,Americas,F,2,3,31,43,74
Rwanda,Africa,NF,6,6,9,14,23
Mozambique,Africa,PF,4,3,23,35,58
Eritrea,Africa,NF,7,7,1,2,3
Guyana,Americas,F,2,3,32,42,74
Canada,Americas,F,1,1,39,59,98
Slovakia,Europe,F,1,1,36,53,89
Monaco,Europe,F,3,1,26,57,83
Moldova,Eurasia,PF,3,3,29,36,65
Maldives,Asia,PF,4,4,20,28,48
Syria,Middle East,NF,7,7,-3,2,-1
Poland,Europe,F,1,1,38,55,93
Latvia,Europe,F,2,2,33,51,84
United Kingdom,Europe,F,1,1,39,55,94
Lesotho,Africa,PF,3,3,27,37,64
Slovakia,Europe,F,1,1,36,53,89
Cabo Verde,Africa,F,1,1,37,53,90
Namibia,Africa,F,2,2,30,47,77
Turkmenistan,Eurasia,NF,7,7,1,6,7
United States,Americas,F,2,1,33,53,86
Panama,Americas,F,2,2,35,47,82
Argentina,Americas,F,2,2,34,50,84
Saudi Arabia,Middle East,NF,7,7,1,6,7
Slovenia,Europe,F,1,1,39,55,94
Ethiopia,Africa,NF,7,6,4,8,12
Paraguay,Americas,PF,3,3,27,37,64
Costa Rica,Americas,F,1,1,38,53,91
Nepal,Asia,PF,3,4,25,29,54
Yemen,Middle East,NF,7,6,4,13,17
Fiji,Asia,PF,6,4,7,30,37
Netherlands,Europe,F,1,1,40,59,99
Pakistani Kashmir,Asia,NF,6,5,8,21,29
Malaysia,Asia,PF,4,4,21,30,51
Peru,Americas,F,2,3,30,42,72
Transnistria,Eurasia,NF,6,6,10,14,24
Japan,Asia,F,1,1,40,56,96
Angola,Africa,NF,6,5,11,19,30
Canada,Americas,F,1,1,40,59,99
North Korea,Asia,NF,7,7,0,3,3
